Age Group,Order,Genre,Artist,Listening Time
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Future Bass,Porter Robinson ,5224
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Japanese Instrumental,Ado,5224
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Lo-Fi,Billie Eilish,5224
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Dance Pop,Biosphere ,5224
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Anime,Ariana Grande,5224
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Taylor Swift,36227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,The Weeknd,36227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Classic Rock,Billie Eilish ,36227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,K-Pop,Frank Ocean,36227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Pop Rap,Khalid ,36227
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Pop,Christopher Larkin,23114
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Lo-Fi Beats,King Princess,23114
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Modern Rock,Hozier,23114
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Soundtrack,Hayley Kiyoko,23114
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Dance Pop,Rainbow Kitten Surprise ,23114
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Pop Rap,Tame Impala,68515
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Kid Cudi,68515
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Melodic Rap,Brockhampton,68515
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Alternative Hip Hop,Post Malone,68515
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Neo-Psychedelic,Tory Lanez,68515
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Ed Sheeran ,41922
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Reggaeton ,J Balvin ,41922
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Persian Pop,Kendji Girac,41922
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Rap,Gims,41922
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Uk Rap,Maluma,41922
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Sleeping At Last,31272
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,K-Pop,Yu-Peng Chen,31272
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Classical Piano,Day6,31272
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Soundtrack,Olivia Rodrigo,31272
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Pop Rock,Hoyo-Mix,31272
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Pop ,Lovejoy,18899
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dream Smp ,Mother Mother ,18899
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Folk ,Wilbur Soot,18899
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Steampunk,Cavetown ,18899
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Weirdcore,Lemon Demon,18899
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Doja Cat ,45071
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Desi Pop,Mitski,45071
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Pop,Pinkpantheress,45071
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Nepali Pop,Bartika Eam Rai,45071
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Electropop,Marina,45071
I am 25 years old or older,1,Dance Pop,Lizzo,2119
I am 25 years old or older,2,Glitchcore,Bruno Mars,2119
I am 25 years old or older,3,J-Pop,Lionel Richie,2119
I am 25 years old or older,4,Motown,Doja Cat,2119
I am 25 years old or older,5,Conscious Hip Hop,Bo Burnham,2119
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,K-Pop,Day6,48759
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Ariana Grande,48759
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Korean R&B,Yerin Baek,48759
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Anime,Sam Kim,48759
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Boy Band,Taeyeon,48759
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Lany,7049
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Lo-Fi Beats,Niki,7049
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,K-Pop,Ariana Grande,7049
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Chill R&B,Jeremy Zucker,7049
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Electropop,Keshi,7049
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Classic Rock,Grateful Dead,56830
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Comedy,Van Halen,56830
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Gangster Rap,Led Zeppelin,56830
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Blues Rock ,The Beatles ,56830
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Jam Band,Steely Dan,56830
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Olivia Rodrigo,21738
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Showtunes,Little Mix,21738
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Praise,Ariana Grande,21738
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Chill R&B,Taylor Swift,21738
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Opm,Shawn Mendez,21738
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Pop,The Police,13338
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Taylor Swift,13338
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,French Pop,Her’S,13338
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Italian Pop,Måneskin,13338
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,New Wave,Ricky Montgomery ,13338
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,K-Pop,Anson Seabra,12389
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Post Malone,12389
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Korean R&B,Lauv,12389
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,J-Pop,Keshi,12389
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Electropop,Zico,12389
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Ariana Grande,18890
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Emo,Doja Cat,18890
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Pop,Mother Mother,18890
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,J-Pop,Mori Calliope ,18890
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Modern Rock,Twenty One Pilots ,18890
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,K-Pop,Lany,109951
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,Jeremy Zucker,109951
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Korean R&B,Ariana Grande,109951
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Dance Pop,Lorde,109951
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Chill R&B,Keshi,109951
I am 25 years old or older,1,Indiesoul,H E R M I T,30720
I am 25 years old or older,2,Dance Pop,Tom Hillenbrand,30720
I am 25 years old or older,3,Slaphouse,Jsunt,30720
I am 25 years old or older,4,Neosoul,Jungle,30720
I am 25 years old or older,5,Chill Hop,Hayley Williams,30720
I am 25 years old or older,1,Metalcore,H E R M I T,32837
I am 25 years old or older,2,Alternative Metal,Jsunt ,32837
I am 25 years old or older,3,Chill Hop,Limp Bizkit,32837
I am 25 years old or older,4,Dance Pop,Sylar,32837
I am 25 years old or older,5,Lo-Fi Beats,Linkin Park,32837
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,K Flay,30233
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Electropop ,Kate Bush,30233
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Pop Rap,Childish Gambino ,30233
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Indie Pop,Willow,30233
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Alternative Hip Hop,Doja Cat,30233
I am 25 years old or older,1,J-Rock,Wagakkiband,29581
I am 25 years old or older,2,Dance Pop,Kesha,29581
I am 25 years old or older,3,Pop Punk,My Chemical Romance,29581
I am 25 years old or older,4,Country Road,Superfly,29581
I am 25 years old or older,5,Alternative Metal,Fall Out Boy,29581
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Reggaeton,Bad Bunny,37655
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Kali Uchis,37655
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Salsa,Doja Cat,37655
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Trap Queen,Megan Thee Stallion,37655
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Corrido,Brent Faiyaz,37655
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Taylor Swift,112965
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,Sleeping At Last,112965
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Pop Rock,Lorde,112965
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Indie Poptimism,Maisie Peters,112965
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Alternative R&B,Olivia Rodrigo,112965
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Taylor Swift ,16771
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Modern Rock ,Ariana Grande ,16771
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Electropop,Ajr,16771
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Social Media Pop,Halsey ,16771
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Pop Rap,Olivia Rodrigo ,16771
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Punk,Ajr,48100
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Modern Rock,Tally Hall,48100
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Rock,Glass Animals,48100
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Indie Pop,Weezer,48100
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Emo,Green Day,48100
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Pop Punk,Machine Gun Kelly,34044
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,Yungblud,34044
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Midwest Emo,Waterparks,34044
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Classic Rock,Mxmtoon,34044
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Bubblegrunge,All Time Low,34044
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop ,Doja Cat,25611
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,Bad Bunny,25611
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Electropop ,Phoebe Bridgers ,25611
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Emo Rap,Illenium,25611
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Reggaeton,Terror Jr,25611
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Pop ,"Tyler, The Creator",44439
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop ,Phoebe Bridgers,44439
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Rock,Mitski,44439
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Classic Rock,Mother Mother,44439
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Alternative Hip Hop,Clairo,44439
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Beatlesque,The Beatles,22979
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Bo Burnham,22979
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Indie Pop,Matt Maltese,22979
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Punk,Luke Hemmings,22979
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Classic Rock,The 1975,22979
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Taylor Swift,20423
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Pop Rock,Ed Sheeran,20423
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Uk-Pop,Ingrid Michaelson,20423
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Soundtrack,Dresses,20423
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Showtunes,Lewis Capaldi,20423
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Canadian Hip Hop,Drake,38770
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Pop Rap,Kanye West,38770
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Chicago Rap,Young Thug ,38770
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Alternative Hip Hop,Young Stoner Life ,38770
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Atl Hip Hop,Dj Khaled,38770
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Rock,Notorious B.I.G.,24983
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Underground Hip Hop,"Tyler, The Creator",24983
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Dance Pop,Sza,24983
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Indie Pop,Doja Cat ,24983
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Gangster Rap,Radiator Hospital ,24983
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Taylor Swift,30094
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Classic Rock ,The Beatles,30094
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Kollywood ,One Direction,30094
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Soundtrack ,Olivia Rodrigo,30094
